,number_of_passage,timestamp,line,road_type
351,191,2022-02-15 21:00:00,USKUDAR-EMINONU,DENIZ
352,0,2022-02-15 22:00:00,USKUDAR-EMINONU,DENIZ
353,0,2022-02-15 23:00:00,USKUDAR-EMINONU,DENIZ
354,0,2022-02-16 00:00:00,USKUDAR-EMINONU,DENIZ
355,0,2022-02-16 01:00:00,USKUDAR-EMINONU,DENIZ
356,0,2022-02-16 02:00:00,USKUDAR-EMINONU,DENIZ
357,0,2022-02-16 03:00:00,USKUDAR-EMINONU,DENIZ
358,0,2022-02-16 04:00:00,USKUDAR-EMINONU,DENIZ
359,0,2022-02-16 05:00:00,USKUDAR-EMINONU,DENIZ
360,433,2022-02-16 06:00:00,USKUDAR-EMINONU,DENIZ
361,974,2022-02-16 07:00:00,USKUDAR-EMINONU,DENIZ
362,881,2022-02-16 08:00:00,USKUDAR-EMINONU,DENIZ
363,829,2022-02-16 09:00:00,USKUDAR-EMINONU,DENIZ
364,859,2022-02-16 10:00:00,USKUDAR-EMINONU,DENIZ
365,977,2022-02-16 11:00:00,USKUDAR-EMINONU,DENIZ
366,1200,2022-02-16 12:00:00,USKUDAR-EMINONU,DENIZ
367,1179,2022-02-16 13:00:00,USKUDAR-EMINONU,DENIZ
368,1294,2022-02-16 14:00:00,USKUDAR-EMINONU,DENIZ
369,1190,2022-02-16 15:00:00,USKUDAR-EMINONU,DENIZ
370,950,2022-02-16 16:00:00,USKUDAR-EMINONU,DENIZ
371,919,2022-02-16 17:00:00,USKUDAR-EMINONU,DENIZ
372,699,2022-02-16 18:00:00,USKUDAR-EMINONU,DENIZ
373,549,2022-02-16 19:00:00,USKUDAR-EMINONU,DENIZ
374,287,2022-02-16 20:00:00,USKUDAR-EMINONU,DENIZ
375,176,2022-02-16 21:00:00,USKUDAR-EMINONU,DENIZ
376,0,2022-02-16 22:00:00,USKUDAR-EMINONU,DENIZ
377,0,2022-02-16 23:00:00,USKUDAR-EMINONU,DENIZ
378,0,2022-02-17 00:00:00,USKUDAR-EMINONU,DENIZ
379,0,2022-02-17 01:00:00,USKUDAR-EMINONU,DENIZ
380,0,2022-02-17 02:00:00,USKUDAR-EMINONU,DENIZ
381,0,2022-02-17 03:00:00,USKUDAR-EMINONU,DENIZ
382,0,2022-02-17 04:00:00,USKUDAR-EMINONU,DENIZ
383,0,2022-02-17 05:00:00,USKUDAR-EMINONU,DENIZ
